Candidate: H6FL06035, Total: 573570.0, Minimum: -5000.0, Maximum: 33212.0, Mean: 1832.49, Median: 1000.0, Standard Deviation: 2397.34, Z-score: -0.044118910097300366
Candidate: H6NC05109, Total: 1500.0, Minimum: 1500.0, Maximum: 1500.0, Mean: 1500.00, Median: 1500.0, Standard Deviation: 0.00, Z-score: -0.09741590293562055
Candidate: H2TX27190, Total: 158950.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1938.41, Median: 1250.0, Standard Deviation: 1720.47, Z-score: -0.08274704856046801
Candidate: H2TX33032, Total: 222537.0, Minimum: -5000.0, Maximum: 98170.0, Mean: 7947.75, Median: 1538.0, Standard Deviation: 18835.16, Z-score: -0.07682295555854471
Candidate: H8ME01120, Total: 191340.0, Minimum: -1000.0, Maximum: 5000.0, Mean: 1913.40, Median: 1000.0, Standard Deviation: 1612.61, Z-score: -0.07972942904181961
Candidate: H2NC13144, Total: 1000.0, Minimum: 1000.0, Maximum: 1000.0, Mean: 1000.00, Median: 1000.0, Standard Deviation: 0.00, Z-score: -0.09746248551540827
Candidate: H2CA06259, Total: 366324.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1744.40, Median: 1000.0, Standard Deviation: 1753.37, Z-score: -0.06342701675867136
Candidate: H8TX06035, Total: -2000.0, Minimum: -2000.0, Maximum: 1000.0, Mean: -666.67, Median: -1000.0, Standard Deviation: 1247.22, Z-score: -0.09774198099413457
Candidate: H2IL10050, Total: 82150.0, Minimum: -2500.0, Maximum: 6637.0, Mean: 1053.21, Median: 245.0, Standard Deviation: 1636.69, Z-score: -0.08990213281586157
Candidate: H2NY26171, Total: 1014.0, Minimum: 2.0, Maximum: 1000.0, Mean: 169.00, Median: 2.5, Standard Deviation: 371.64, Z-score: -0.09746118120317421
Candidate: H0PA19095, Total: 196316.0, Minimum: -890.0, Maximum: 119430.0, Mean: 10332.42, Median: 2500.0, Standard Deviation: 26715.85, Z-score: -0.07926583920777223
Candidate: S0UT00140, Total: 5000.0, Minimum: 5000.0, Maximum: 5000.0, Mean: 5000.00, Median: 5000.0, Standard Deviation: 0.00, Z-score: -0.09708982487710652
Candidate: H2CA43245, Total: 900155.0, Minimum: -5000.0, Maximum: 220000.0, Mean: 1673.15, Median: 220.0, Standard Deviation: 10148.86, Z-score: -0.013692566457356314
Candidate: H4NC10047, Total: 666769.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1626.27, Median: 1000.0, Standard Deviation: 1309.18, Z-score: -0.03543601039002923
Candidate: H2IL08088, Total: -500.0, Minimum: -2000.0, Maximum: 2000.0, Mean: -125.00, Median: -250.0, Standard Deviation: 1515.54, Z-score: -0.09760223325477142
Candidate: H2PA16063, Total: 13053.0, Minimum: 4.0, Maximum: 5625.0, Mean: 870.20, Median: 250.0, Standard Deviation: 1438.10, Z-score: -0.09633956584704553
Candidate: H0TX03088, Total: 2600.0, Minimum: 2600.0, Maximum: 2600.0, Mean: 2600.00, Median: 2600.0, Standard Deviation: 0.00, Z-score: -0.09731342126008757
Candidate: H2TX35011, Total: 549957.0, Minimum: -5000.0, Maximum: 10000.0, Mean: 2182.37, Median: 1500.0, Standard Deviation: 1858.77, Z-score: -0.04631881901035516
Candidate: S6WY00068, Total: 1956813.0, Minimum: -5000.0, Maximum: 10000.0, Mean: 1920.33, Median: 1500.0, Standard Deviation: 1443.42, Z-score: 0.08475114472930567
Candidate: S2MD00420, Total: 12500.0, Minimum: 2500.0, Maximum: 10000.0, Mean: 6250.00, Median: 6250.0, Standard Deviation: 3750.00, Z-score: -0.09639108618029074
Candidate: S6MO00289, Total: -1000.0, Minimum: -1000.0, Maximum: -1000.0, Mean: -1000.00, Median: -1000.0, Standard Deviation: 0.00, Z-score: -0.09764881583455914
Candidate: H0IN04170, Total: 494989.0, Minimum: -2500.0, Maximum: 5000.0, Mean: 1367.37, Median: 1000.0, Standard Deviation: 1059.73, Z-score: -0.05143992150189777
Candidate: H2TX25210, Total: 1268.0, Minimum: 4.0, Maximum: 1000.0, Mean: 317.00, Median: 132.0, Standard Deviation: 406.43, Z-score: -0.09743751725264205
Candidate: S6NJ00289, Total: 3245522.0, Minimum: -5000.0, Maximum: 150000.0, Mean: 2788.25, Median: 1500.0, Standard Deviation: 9232.18, Z-score: 0.20481392436060739
Candidate: H2CA52089, Total: 4579236.0, Minimum: 0.0, Maximum: 483801.0, Mean: 19996.66, Median: 2000.0, Standard Deviation: 74386.79, Z-score: 0.32906960199860164
Candidate: H0LA02119, Total: -2000.0, Minimum: -1000.0, Maximum: -1000.0, Mean: -1000.00, Median: -1000.0, Standard Deviation: 0.00, Z-score: -0.09774198099413457
Candidate: H2TX08075, Total: 250.0, Minimum: 250.0, Maximum: 250.0, Mean: 250.00, Median: 250.0, Standard Deviation: 0.00, Z-score: -0.09753235938508985
Candidate: H2TX21052, Total: 500.0, Minimum: 500.0, Maximum: 500.0, Mean: 500.00, Median: 500.0, Standard Deviation: 0.00, Z-score: -0.09750906809519598
Candidate: P80003288, Total: 500.0, Minimum: 500.0, Maximum: 500.0, Mean: 500.00, Median: 500.0, Standard Deviation: 0.00, Z-score: -0.09750906809519598
Candidate: H2VA09077, Total: 45844.0, Minimum: 10.0, Maximum: 20000.0, Mean: 2546.89, Median: 1000.0, Standard Deviation: 4470.75, Z-score: -0.09328458709940737
Candidate: H8MD01086, Total: 3000.0, Minimum: -1000.0, Maximum: 4000.0, Mean: 1500.00, Median: 1500.0, Standard Deviation: 2500.00, Z-score: -0.09727615519625739
Candidate: S6HI00206, Total: 2500.0, Minimum: 2500.0, Maximum: 2500.0, Mean: 2500.00, Median: 2500.0, Standard Deviation: 0.00, Z-score: -0.09732273777604511
Candidate: H0PA07082, Total: 1297353.0, Minimum: -5000.0, Maximum: 35504.0, Mean: 1671.85, Median: 1000.0, Standard Deviation: 1781.99, Z-score: 0.023312448595688068
Candidate: H8IL14075, Total: 10380.0, Minimum: 250.0, Maximum: 2000.0, Mean: 943.64, Median: 1000.0, Standard Deviation: 480.95, Z-score: -0.09658859631859067
Candidate: H8CA42061, Total: 83418.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1573.92, Median: 1000.0, Standard Deviation: 2027.53, Z-score: -0.08978399939351991
Candidate: P80000748, Total: 4682649.0, Minimum: -20000.0, Maximum: 1451800.0, Mean: 4903.30, Median: 76.0, Standard Deviation: 50487.69, Z-score: 0.3387040906457763
Candidate: H0TN06224, Total: 5500.0, Minimum: 500.0, Maximum: 5000.0, Mean: 2750.00, Median: 2750.0, Standard Deviation: 2250.00, Z-score: -0.0970432422973188
Candidate: H0VA10137, Total: 24779.0, Minimum: 24779.0, Maximum: 24779.0, Mean: 24779.00, Median: 24779.0, Standard Deviation: 0.00, Z-score: -0.09524711118586396
Candidate: S6NJ00131, Total: -500.0, Minimum: -500.0, Maximum: -500.0, Mean: -500.00, Median: -500.0, Standard Deviation: 0.00, Z-score: -0.09760223325477142
Candidate: H2MD06161, Total: 5000.0, Minimum: 2500.0, Maximum: 2500.0, Mean: 2500.00, Median: 2500.0, Standard Deviation: 0.00, Z-score: -0.09708982487710652
Candidate: H4CO03167, Total: -1250.0, Minimum: -1000.0, Maximum: -250.0, Mean: -625.00, Median: -625.0, Standard Deviation: 375.00, Z-score: -0.097672107124453
Candidate: H6OH16029, Total: -250.0, Minimum: -250.0, Maximum: -250.0, Mean: -250.00, Median: -250.0, Standard Deviation: 0.00, Z-score: -0.09757894196487757
